Designator,Mid X,Mid Y,Rotation,Layer
BD1,38.093683,-41.401182,0.0,top
BD10,95.243683,-52.04678,180.0,top
BD11,114.293683,-54.848253,180.0,top
BD12,133.343683,-57.649727,180.0,top
BD13,38.093683,-79.501182,0.0,top
BD14,57.143683,-79.501182,0.0,top
BD15,76.193683,-73.898253,0.0,top
BD16,95.243683,-71.09678,0.0,top
BD17,114.293683,-73.898253,0.0,top
BD18,133.343683,-76.699727,0.0,top
BD19,38.093683,-98.551182,180.0,top
BD2,57.143683,-41.401182,0.0,top
BD20,57.143683,-98.551182,180.0,top
BD21,76.193683,-92.948253,180.0,top
BD22,95.243683,-90.14678,180.0,top
BD23,114.293683,-92.948253,180.0,top
BD24,133.343683,-95.749727,180.0,top
BD25,76.193683,-111.998253,0.0,top
BD26,95.243683,-109.19678,0.0,top
BD27,114.293683,-111.998253,0.0,top
BD28,136.781372,-117.213157,345.0,top
BD29,158.712259,-125.398637,338.0,top
BD3,76.193683,-35.798253,0.0,top
BD4,95.243683,-32.99678,0.0,top
BD5,114.293683,-35.798253,0.0,top
BD6,133.343683,-38.599727,0.0,top
BD7,38.093683,-60.451182,180.0,top
BD8,57.143683,-60.451182,180.0,top
BD9,76.193683,-54.848253,180.0,top
C1,161.92,-38.4325,90.0,top
C10,150.745685,-60.27,180.0,top
C11,160.875685,-56.3,90.0,top
C12,155.255685,-54.74,90.0,top
C13,163.965685,-70.62,270.0,top
C14,165.184895,-63.87,0.0,top
C15,161.745685,-71.75,90.0,top
C16,155.945685,-70.72,270.0,top
C17,163.2975,-98.77,180.0,bottom
C18,163.2975,-99.92,180.0,bottom
C2,164.7775,-49.36,0.0,top
C3,162.025685,-56.3,90.0,top
C4,163.175685,-56.3,90.0,top
C5,162.815685,-70.62,270.0,top
C6,165.185685,-60.27,0.0,top
C7,156.405685,-54.74,90.0,top
C8,157.555685,-54.74,90.0,top
C9,150.746588,-63.87,180.0,top
D1,42.790112,-56.228152,180.0,top
D10,99.940112,-66.87375,180.0,top
D11,118.990112,-69.675223,180.0,top
D12,138.040112,-72.476697,180.0,top
D13,42.790112,-94.328152,180.0,top
D14,42.790112,-113.378152,180.0,top
D15,61.840112,-94.328152,180.0,top
D16,61.840112,-113.378152,180.0,top
D17,80.890112,-88.725223,180.0,top
D18,80.890112,-107.775223,180.0,top
D19,99.940112,-85.92375,180.0,top
D2,61.840112,-56.228152,180.0,top
D20,99.940112,-104.97375,180.0,top
D21,118.990112,-88.725223,180.0,top
D22,118.990112,-107.775223,180.0,top
D23,138.040112,-91.526697,180.0,top
D24,138.040112,-110.576697,180.0,top
D25,80.890112,-126.825223,180.0,top
D26,99.940112,-124.02375,180.0,top
D27,118.990112,-126.825223,180.0,top
D28,137.480272,-132.750434,165.0,top
D29,157.512432,-140.905276,158.0,top
D3,80.890112,-50.625223,180.0,top
D4,99.940112,-47.82375,180.0,top
D5,118.990112,-50.625223,180.0,top
D6,138.040112,-53.426697,180.0,top
D7,42.790112,-75.278152,180.0,top
D8,61.840112,-75.278152,180.0,top
D9,80.890112,-69.675223,180.0,top
J1,158.74,-28.62,180.0,top
J2,150.13,-77.85,0.0,top
J3,167.44,-86.96,180.0,top
J5,155.424248,-106.422481,90.0,top
LH1,169.73,-138.92,0.0,top
LH2,169.84,-30.89,0.0,top
LH3,30.52,-30.43,0.0,top
LH4,31.14,-125.84,0.0,top
PSW1,159.78,-116.4,90.0,top
PSW2,166.53,-116.4,270.0,top
R1,151.7775,-37.64,180.0,top
R2,151.7775,-35.65,180.0,top
R3,159.815685,-56.27,270.0,top
R4,158.665685,-56.27,270.0,top
R5,164.5525,-110.525,0.0,top
R6,160.595685,-71.75,90.0,top
R7,154.73,-102.31,180.0,bottom
R8,164.5025,-96.38,0.0,bottom
R9,164.5025,-97.53,0.0,bottom
SW1,38.1,-46.504402,0.0,top
SW10,95.25,-57.15,0.0,top
SW11,114.3,-59.951473,0.0,top
SW12,133.35,-62.752947,0.0,top
SW13,38.1,-84.604402,0.0,top
SW14,57.15,-84.604402,0.0,top
SW15,76.2,-79.001473,0.0,top
SW16,95.25,-76.2,0.0,top
SW17,114.3,-79.001473,0.0,top
SW18,133.35,-81.802947,0.0,top
SW19,38.1,-103.654402,0.0,top
SW2,57.15,-46.504402,0.0,top
SW20,57.15,-103.654402,0.0,top
SW21,76.2,-98.051473,0.0,top
SW22,95.25,-95.25,0.0,top
SW23,114.3,-98.051473,0.0,top
SW24,133.35,-100.852947,0.0,top
SW25,76.2,-117.101473,0.0,top
SW26,95.25,-114.3,0.0,top
SW27,114.3,-117.101473,0.0,top
SW28,135.466664,-122.144123,345.0,top
SW29,156.806417,-130.132626,338.0,top
SW3,76.2,-40.901473,0.0,top
SW4,95.25,-38.1,0.0,top
SW5,114.3,-40.901473,0.0,top
SW6,133.35,-43.702947,0.0,top
SW7,38.1,-65.554402,0.0,top
SW8,57.15,-65.554402,0.0,top
SW9,76.2,-59.951473,0.0,top
U1,158.005685,-62.87,90.0,top
U2,164.2025,-44.23,90.0,top
U3,152.895685,-49.3025,270.0,top
U4,157.28,-98.1225,90.0,bottom
Y1,158.245685,-71.25,270.0,top
